zm_r,vb
0.494446675,1
0.549048073,1
0.451601995,1
0.609080193,1
0.947857536,1
1.136063414,1
1.171607932,1
0.98188873,1
0.301130025,1
0.805594629,1
0.639746839,1
0.494403389,1
1.23569051,1
0.671360218,1
0.942366999,1
0.782870902,1
0.331166069,1
0.305067273,1
0.305248281,1
0.200593884,1
0.2654349,1
0.982123881,1
0.430976033,1
0.367871232,1
1.074879149,1
0.615231689,1
1.095250395,1
0.387690288,1
0.843854859,1
1.122044212,1
0.82946691,1
0.728653618,1
0.756364007,1
1.152928534,1
1.091880505,1
1.029124459,1
1.274967874,1
1.406210591,1
1.235130845,1
1.023745305,1
1.10903309,1
1.833151488,1
1.365427247,1
1.610723225,1
1.614235185,1
0.391505518,1
2.733060719,1
1.166130211,1
1.480342638,1
2.033364967,1
2.406867228,1
2.697664023,1
0.687240873,1
0.495982405,1
0.792265132,1
0.515156655,1
1.915969568,1
0.696183815,1
1.931253292,1
0.856535875,1
2.105181351,1
1.438884726,1
1.215132015,1
0.683685654,1
2.464912028,1
1.046386529,1
1.894820052,1
2.065079002,1
1.014340086,1
0.602353185,1
0.834406178,1
0.785716748,1
1.053792245,1
0.44474799,1
0.978109792,1
0.784773176,1
1.149593072,1
1.169994234,1
1.156846873,1
1.639611336,1
0.759426572,1
1.12940799,1
1.465696424,1
0.189667959,1
0.746242559,1
1.109064136,1
0.962810287,1
1.482953224,1
1.28465957,1
1.432948352,1
0.275652597,1
1.751302319,1
0.577026127,1
1.813582674,1
1.657736323,1
0.799586212,1
1.802826965,1
1.327120886,1
0.434112615,1
1.470176303,1
1.253286057,1
1.028542609,1
3.301309092,1
2.295051449,1
1.288878552,1
0.906826435,1
1.198502565,1
0.76895643,1
3.310234216,1
0.275609143,1
1.009907064,1
1.283521635,1
1.024762505,1
2.263991796,1
1.105924381,1
1.365038361,1
1.629329703,1
0.421171243,1
0.442113125,1
0.403238942,1
2.012582164,1
0.995149003,1
1.573002786,1
1.235700823,1
1.572733961,1
0.988919365,1
1.561669693,1
0.464511899,1
0.954793549,1
0.631328794,1
3.189682776,1
0.454100484,1
1.329250021,1
1.559626648,1
1.050270317,1
0.951258232,1
0.776054729,1
1.284143218,1
1.262321326,1
1.339756605,1
1.57297527,1
0.839794596,1
0.60571768,1
0.914418612,1
0.670180241,1
0.692853097,1
0.934640992,1
0.808145523,1
0.44723622,1
0.49141159,1
0.14079531,1
0.430896192,1
0.31268411,1
0.460323453,1
0.549254482,1
0.901170556,1
1.135613961,0
0.133872389,0
0.399965385,0
0.827407406,0
1.098823648,0
0.761831677,0
0.937714578,0
0.600999405,0
0.906733737,0
0.624222444,0
0.708120235,0
1.319778691,0
0.92839649,0
1.442242263,0
0.593891913,0
1.42682388,0
1.287097148,0
0.700109524,0
1.006531382,0
1.1578601,0
0.564444515,0
0.750704694,0
0.351531683,0
0.485211195,0
0.224272446,0
0.690033271,0
0.886034168,0
0.819487727,0
0.875566111,0
1.328668666,0
0.820194354,0
0.219136452,0
0.415262844,0
0.979932943,0
1.074193436,0
0.952128672,0
0.4281528,0
0.667114268,0
0.997346816,0
0.472162954,0
1.226522575,0
0.918228582,0
1.137389652,0
0.628519957,0
1.49471585,0
1.138990823,0
0.28627558,0
1.367294478,0
1.222024637,0
0.564444515,0
0.673185943,0
1.546376698,0
1.081183261,0
0.810389607,0
1.35996718,0
0.677172964,0
0.795262407,0
1.45899887,0
0.898463232,0
0.512781847,0
0.984077659,0
1.233924287,0
0.827321102,0
1.014250728,0
0.615364008,0
1.111881042,0
1.139725428,0
0.84817123,0
0.607911684,0
0.696858426,0
0.908278238,0
0.274780528,0
1.369283396,0
1.085534712,0
0.64743331,0
1.560260925,0
1.068285888,0
0.230384829,0
0.772287085,0
1.939369875,0
1.026672933,0
0.400412303,0
0.781474648,0
0.678744964,0
1.087871003,0
1.003441478,0
0.460380319,0
0.681150459,0
0.875346084,0
1.363937542,0
1.478728407,0
0.180366813,0
0.682474996,0
0.728304706,0
1.297643951,0
0.492109494,0
1.408908903,0
0.451169368,0
0.5969041,0
0.667360806,0
0.587624845,0
0.705924986,0
0.338091228,0
0.351937466,0
1.591445669,0
1.363942242,0
0.399217968,0
0.843769678,0
1.380961206,0
0.629634673,0
0.724836711,0
0.611472903,0
0.546966696,0
1.011962957,0
0.983414107,0
0.682948347,0
0.560661608,0
0.957476381,0
1.677738906,0
0.461292281,0
0.789792164,0
0.615947302,0
1.017298601,0
0.715444392,0
1.027579964,0
0.563616029,0
0.773929863,0
0.711698511,0
0.690818282,0
1.645914355,0
0.596183547,0
1.012663093,0
1.693280298,0
1.670231147,0
0.389802802,0
0.704998414,0
1.376970928,0
0.984481316,0
0.460019246,0
1.709241027,0
0.566107546,0
0.878586744,0
1.381034918,0
1.071072164,0
0.350603396,0
0.606674227,0
1.543418043,0
0.87631459,0
0.300331618,0
0.94014318,0
0.868207976,0
0.628514225,0
0.563158439,0
1.415914738,0
0.762471526,0
0.14079531,0
0.623790741,0
0.479495864,0
1.624277311,0
0.572841575,0
0.194470769,0
1.359515174,0
1.504810831,0
0.631861718,0
0.543975775,0
1.422147256,0
1.472682649,0
0.566898965,0
0.557844579,0
0.752760047,0
1.028758653,0
1.334231627,0
0.876725065,0
0.554194699,0
0.560865278,0
1.631010758,0
1.24480369,0
0.344587006,0
0.701407597,0
1.362192927,0
0.336233068,0
0.600388729,0
0.511039667,0
0.479998381,0
0.766437631,0
0.960969856,0
1.880328821,0
0.631916972,0
0.970401149,0
1.319258573,0
1.149956741,0
0.391505518,0
0.848317018,0
1.184133156,0
1.029352125,0
0.497483187,0
1.467566467,0
1.094579184,0
0.810098045,0
1.114863727,0
0.853710961,0
0.703382248,0
0.341082937,0
0.93180127,0
1.362505696,0
1.413687855,0
0.493765834,0
0.799523222,0
0.703623234,0
0.515981025,0
1.41750616,0
1.118790418,0
0.556260447,0
0.398889742,0
1.281735975,0
0.794518026,0
0.66075495,0
1.087987479,0
0.706578507,0
0.623620236,0
0.567622665,0
0.189667959,0
1.215164135,0
0.323963675,0
0.593290308,0
1.174345567,0
1.067774396,0
0.940224112,0
0.767342349,0
0.880023686,0
0.752259057,0
0.186776484,0
1.290469896,0
1.143789464,0
0.500207446,0
0.626366405,0
0.312434901,0
0.336233068,0
0.543026688,0
0.46717784,0
0.979904156,0
0.832340671,0
0.62954305,0
1.508578578,0
0.60326242,0
0.418615044,0
0.876210876,0
0.542360179,0
0.898615577,0
0.536573703,0
0.389662148,0
1.134017108,0
0.635983569,0
0.718262827,0
0.597148729,0
1.079410119,0
1.083297922,0
0.398481081,0
0.648818806,0
0.453973826,0
0.650571329,0
0.505854,0
0.649622975,0
0.965211747,0
0.533061566,0
0.495759527,0
0.500037967,0
0.659141665,0
1.82694252,0
0.583298109,0
0.733356996,0
1.06834542,0
0.711570354,0
0.422362587,0
0.650279901,0
0.901169772,0
0.486235349,0
0.948946092,0
0.735945871,0
0.395221566,0
0.720699534,0
0.598980866,0
0.53503357,0
0.406061672,0
1.43911061,0
0.567102693,0
0.691581446,0
0.307783322,0
1.087172031,1
0.627812937,1
0.558032371,1
0.46465318,1
0.175491001,1
1.206755813,1
0.742735548,1
0.395726817,1
0.640641962,1
0.564917461,1
1.04648227,1
1.131791552,1
1.003532721,1
0.752393496,1
1.273508361,1
0.631960095,1
0.614588961,1
0.546778448,1
0.624223625,1
1.269065638,1
1.166218592,1
1.427635773,1
0.999448699,1
